Species,ID_pine,ID_spruce,GO,ID_Arabidopsis,Gene name,Gene function,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Norway spruce,,MA_10431815g0010,,,,,SHADE>SUN,38.28559796,-0.368786002,0.308555814,-1.1952003,0.232008781,0.687103171
Scots pine,PITA_000005519,MA_10431815g0020,GO:0000271,AT3G28860.1,ABCB19,,,,,,,,
Norway spruce,,MA_10431815g0020,,,,,SHADE>SUN,109.2755207,-0.105657878,0.191294105,-0.55233212,0.580720828,0.909027241
Scots pine,PITA_000024618,MA_10431933g0010,,AT1G14350.2,AtMYB124,,,,,,,,
Norway spruce,,MA_10431933g0010,,,,,SHADE<SUN,68.45876156,0.135480516,0.270770359,0.500352094,0.616827179,0.92173769
Scots pine,PITA_000011255,MA_10431939g0010,,AT4G15630.1,,Uncharacterised protein family (UPF0497),SHADE>SUN,16.69140257,-1.634257006,0.440945826,-3.706253491,2,
Norway spruce,,MA_10431939g0010,,,,,SHADE<SUN,146.6049623,0.063997699,0.301038601,0.212589679,0.831647022,0.973945508
Scots pine,PITA_000027358,MA_10431940g0010,,AT3G27925.1,Deg1,,,,,,,,
Norway spruce,,MA_10431940g0010,,,,,SHADE>SUN,155.7332621,-0.419794049,0.201992468,-2.078265855,0.037684879,0.255605547
Scots pine,PITA_000017693,MA_10431950g0020,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE<SUN,243.2352365,8.306375185,0.634175808,1,,
Norway spruce,,MA_10431950g0020,,,,,SHADE<SUN,15473.88073,1.245027953,0.689110741,1.806716801,0.070806447,0.370680304
Scots pine,PITA_000070216,MA_10432114g0020,,AT1G26090.1,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE<SUN,200.8040918,0.770116699,0.22896737,3.363434272,7,
Norway spruce,,MA_10432114g0020,,,,,SHADE>SUN,249.3248486,-0.208483675,0.203970998,-1.022124111,0.306722163,0.747065371
Scots pine,PITA_000024269,MA_10432148g0010,GO:0003723,AT3G13120.2,,Ribosomal protein S10p/S20e family protein,SHADE<SUN,5,,,,,
Norway spruce,,MA_10432148g0010,,,,,SHADE>SUN,384.3456461,-0.388638763,0.186747532,-2.081091831,0.037425501,0.254603065
Scots pine,PITA_000080289,MA_10432162g0020,,AT4G02750.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,180.6790429,0.981129925,0.272237076,3.60395409,3,
Norway spruce,,MA_10432162g0020,,,,,SHADE<SUN,189.1573793,0.295676696,0.675843925,0.437492571,0.661754163,0.935954275
Scots pine,PITA_000050034,MA_10432202g0030,,AT5G36930.1,,Disease resistance protein (TIR-NBS-LRR class) family,SHADE>SUN,72.21848235,-6.233784807,0.717684737,-8.685965424,3.76E-18,5.75E-16
Norway spruce,,MA_10432202g0030,,,,,SHADE>SUN,67.47450584,-0.324398769,0.653881743,-0.49611229,0.619815188,0.922599271
Scots pine,PITA_000000295,MA_10432278g0010,,AT1G01880.1,,5'-3' exonuclease family protein,SHADE<SUN,250.3048452,1.279755951,0.29418273,4.350207605,1.36E-05,2
Norway spruce,,MA_10432278g0010,,,,,SHADE<SUN,93.81674292,0.788541781,0.65055204,1.212111765,0.225469601,0.678833123
Scots pine,PITA_000085789,MA_10432303g0020,,AT1G64970.1,G-TMT,,,,,,,,
Norway spruce,,MA_10432303g0020,,,,,SHADE>SUN,138.3531297,-0.440937397,0.365075687,-1.207797212,0.227125274,0.680953777
Scots pine,PITA_000077630,MA_10432342g0010,GO:0006952,AT5G06320.1,NHL3,NDR1/HIN1-like 3,SHADE>SUN,6.399056619,-2.46063428,0.750708947,-3.277747374,1,
Norway spruce,,MA_10432342g0010,,,,,SHADE>SUN,32.61721877,-0.871049825,0.591749395,-1.47199107,0.141023289,0.542423705
Scots pine,PITA_000067926,MA_10432379g0020,GO:0006979,AT5G05340.1,,Peroxidase superfamily protein,SHADE>SUN,273.1585973,-1.981834667,0.605759814,-3.271650941,1,
Norway spruce,,MA_10432379g0020,,,,,SHADE>SUN,39.55975554,-0.921481797,0.681950206,-1.351244986,0.176616968,0.606400773
Scots pine,PITA_000016338,MA_10432388g0010,GO:0000023,AT4G35760.1,,NAD(P)H dehydrogenase (quinone)s,SHADE<SUN,2,,,,,
Norway spruce,,MA_10432388g0010,,,,,SHADE<SUN,308.9555344,0.138957263,0.249053101,0.557942315,0.576883775,0.907840241
Scots pine,PITA_000003424,MA_10432399g0010,GO:0001664,AT1G31930.3,XLG3,extra-large GTP-binding protein 3,SHADE>SUN,27.1834891,-5,,,,
Norway spruce,,MA_10432399g0010,,,,,SHADE>SUN,47.78810797,-0.490313471,0.274410537,-1.786788057,0.07397175,0.380770205
Scots pine,PITA_000021147,MA_10432402g0010,GO:0003824,AT2G35840.3,,Sucrose-6F-phosphate phosphohydrolase family protein,SHADE<SUN,199.6168969,0.838481183,0.174015961,4.818415369,1.45E-06,3.92E-05
Norway spruce,,MA_10432402g0010,,,,,SHADE<SUN,97.44389299,0.480802424,0.242529344,1.982450519,0.04742884,0.292420495
Scots pine,PITA_000068234,MA_10432433g0020,,AT5G11090.1,,serine-rich protein-related,SHADE>SUN,22.35823221,-1.718911552,0.436989495,-3.933530602,8.37E-05,1
Norway spruce,,MA_10432433g0020,,,,,SHADE>SUN,7.492780431,-1.485427511,0.579291637,-2.564213631,0.010340987,0.10740832
Scots pine,PITA_000015794,MA_10432470g0010,,AT3G17970.1,atToc64-III,,,,,,,,
Scots pine,PITA_000015795,MA_10432470g0010,,AT3G17970.1,atToc64-III,,,,,,,,
Norway spruce,,MA_10432470g0010,,,,,SHADE<SUN,91.71443628,0.242381277,0.217987283,1.111905583,0.266178748,0.725536366
Scots pine,PITA_000026146,MA_10432513g0010,GO:0003755,AT3G15520.1,,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,SHADE<SUN,8,,,,,
Norway spruce,,MA_10432513g0010,,,,,SHADE<SUN,538.5308535,0.013685277,0.241251325,0.056726226,0.954763283,0.993753579
Scots pine,PITA_000011629,MA_10432570g0020,,AT5G17710.1,EMB1241,Co-chaperone GrpE family protein,SHADE<SUN,244.7309237,1.103951566,0.164458564,6.712642607,1.91E-11,1.16E-09
Scots pine,PITA_000026496,MA_10432570g0020,GO:0000774,AT5G17710.1,EMB1241,Co-chaperone GrpE family protein,SHADE<SUN,274.2733357,0.56313972,0.142943465,3.939597522,8.16E-05,1
Norway spruce,,MA_10432570g0020,,,,,SHADE>SUN,90.40095485,-0.492988749,0.256483063,-1.922110346,0.054591874,0.318045657
Scots pine,PITA_000056400,MA_10432594g0010,GO:0004089,AT1G08080.1,ACA7,,,,,,,,
Norway spruce,,MA_10432594g0010,,,,,SHADE<SUN,682.5223026,1.373642466,0.575626042,2.386345241,0.017016768,0.150709548
Scots pine,PITA_000012211,MA_10432609g0010,,AT3G22550.1,,Protein of unknown function (DUF581),SHADE<SUN,295.2803392,0.632458781,0.191272692,3.306581695,9,
Norway spruce,,MA_10432609g0010,,,,,SHADE<SUN,149.2252285,0.493284675,0.222944907,2.212585525,0.026926234,0.204397527
Scots pine,PITA_000047083,MA_10432630g0020,GO:0000271,AT3G23920.1,BAM1,,,,,,,,
Norway spruce,,MA_10432630g0020,,,,,SHADE<SUN,167.4534465,0.317777887,0.171810506,1.849583562,0.064373594,0.350761625
Scots pine,PITA_000040956,MA_10432644g0010,,AT3G22850.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,27.59424765,-2.167269267,0.372764319,-5.814046983,6,
Norway spruce,,MA_10432644g0010,,,,,SHADE>SUN,121.5231612,-0.220065937,0.267456352,-0.822810659,0.410615674,0.828431272
Scots pine,PITA_000004362,MA_10432670g0020,,AT3G02010.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,295.4047409,1.139408998,0.300092909,3.79685412,1,
Norway spruce,,MA_10432670g0020,,,,,SHADE<SUN,293.585942,0.950062266,0.383740817,2.475791531,0.013294118,0.127410676
Scots pine,PITA_000047727,MA_10432675g0010,,AT1G13130.1,,Cellulase (glycosyl hydrolase family 5) protein,SHADE<SUN,96.51403512,1.876437067,0.540802991,3.469723906,5,
Norway spruce,,MA_10432675g0010,,,,,SHADE<SUN,968.5876441,0.398284318,0.20083895,1.983102964,0.04735593,0.29220725
Scots pine,PITA_000021414,MA_10432772g0010,,AT3G22470.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,1,,,,,
Norway spruce,,MA_10432772g0010,,,,,SHADE>SUN,52.41601453,-0.443859035,0.592317371,-0.749360152,0.453640162,0.85520976
Norway spruce,,MA_10432805g0010,,AT3G50210.3,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,SHADE<SUN,67.58515463,0.224036027,0.387915101,0.577538813,0.563575527,0.903429136
Scots pine,PITA_000063012,MA_10432805g0020,GO:0000786,AT5G65360.1,,Histone superfamily protein,SHADE>SUN,228.9111948,-5.368326726,0.806602546,-6.655479519,2.82E-11,1.63E-09
Scots pine,PITA_000033097,MA_10432809g0020,GO:0004601,AT2G37130.1,,Peroxidase superfamily protein,SHADE<SUN,284.2488452,2.21183393,0.492751417,4.488741897,7.16E-06,1
Norway spruce,,MA_10432809g0020,,,,,SHADE>SUN,7.882092928,-1.383407594,0.591362856,-2.339354899,0.019317074,0.164945748
Scots pine,PITA_000045788,MA_10432831g0010,GO:0003735,AT2G43030.1,,Ribosomal protein L3 family protein,SHADE<SUN,317.9734595,0.714035966,0.10247565,6.967859814,3.22E-12,2.17E-10
Norway spruce,,MA_10432831g0010,,,,,SHADE>SUN,235.7247063,-0.391618256,0.152250784,-2.572192051,0.010105682,0.10570645
Scots pine,PITA_000066650,MA_10432860g0010,,AT5G51010.1,,Rubredoxin-like superfamily protein,SHADE<SUN,488.5293232,1.353685188,0.20105352,6.732959407,1.66E-11,1
Norway spruce,,MA_10432860g0010,,,,,SHADE<SUN,237.1008408,0.270369075,0.233576154,1.157520022,0.247059964,0.704300978
Scots pine,PITA_000015521,MA_10432910g0010,,AT1G50170.1,ATSIRB,,,,,,,,
Norway spruce,,MA_10432910g0010,,,,,SHADE>SUN,131.8010112,-0.602918708,0.278295866,-2.166466632,0.030275547,0.221498768
Scots pine,PITA_000005890,MA_10432911g0010,,AT1G54520.1,,unknown,SHADE<SUN,972.4351235,1.528184464,0.131033339,11.66256215,1.98E-31,1
Scots pine,PITA_000053652,MA_10432911g0010,,AT1G54520.1,,unknown,SHADE<SUN,688.7271846,1.293610009,0.187059644,6.915494864,4.66E-12,3
Scots pine,PITA_000063672,MA_10432911g0010,GO:0009536,AT1G54520.1,,unknown,SHADE<SUN,580.3242935,2.123458582,0.16777894,12.65628797,1,
Norway spruce,,MA_10432911g0010,,,,,SHADE<SUN,589.1881489,0.203809889,0.246429862,0.827050291,0.408208557,0.826634801
Norway spruce,,MA_10432931g0010,,,,,SHADE<SUN,169.4666592,0.047479083,0.31262207,0.15187374,0.879286521,0.983475414
Scots pine,PITA_000029180,MA_10432931g0010,,,,,SHADE<SUN,348.3895399,1.312931042,0.354008983,3.708750639,2,
Scots pine,PITA_000078883,MA_10432947g0010,GO:0000166,AT1G32100.1,ATPRR1,,,,,,,,
Norway spruce,,MA_10432947g0010,,,,,SHADE<SUN,65.30646219,0.388412953,0.299915437,1.295074894,0.195294395,0.635538843
Scots pine,PITA_000057088,MA_10432955g0010,GO:0003735,AT1G68590.1,,Ribosomal protein PSRP-3/Ycf65,SHADE>SUN,2,,,,,
Norway spruce,,MA_10432955g0010,,,,,SHADE>SUN,267.4290082,-0.389070414,0.168262891,-2.312277006,0.020762423,0.173741633
Scots pine,PITA_000017502,MA_10432986g0010,GO:0004359,AT5G60540.1,ATPDX2,,,,,,,,
Norway spruce,,MA_10432986g0010,,,,,SHADE<SUN,160.1585707,0.397098021,0.184766465,2.149188825,0.031619435,0.227939476
Scots pine,PITA_000092427,MA_10432987g0020,GO:0016740,AT1G77520.1,,O-methyltransferase family protein,SHADE>SUN,46.93216911,-1.796502769,0.265264002,-6.772508718,1.27E-11,7.92E-10
Norway spruce,,MA_10432987g0020,,,,,SHADE>SUN,179.1337509,-0.256834065,0.277003552,-0.927186903,0.353829502,0.787916328
Scots pine,PITA_000021038,MA_10433010g0010,GO:0003993,AT1G54780.1,,,SHADE<SUN,625.7366046,0.989207502,0.17310975,5.714337298,1.10E-08,4.32E-07
Norway spruce,,MA_10433010g0010,,,,,SHADE>SUN,771.4084884,-0.079439451,0.196182311,-0.404926675,0.68553141,0.941161206
Scots pine,PITA_000029245,MA_10433022g0010,GO:0000162,AT5G38530.1,,,SHADE<SUN,117.8440618,0.589481144,0.178907479,3.294893804,9,
Norway spruce,,MA_10433022g0010,,,,,SHADE<SUN,175.1220972,0.261536848,0.230522324,1.134540218,0.256568014,0.714698067
Norway spruce,,MA_10433031g0010,,,,,SHADE<SUN,108.5349134,0.556097405,0.429807938,1.293827676,0.195724951,0.635894983
Scots pine,PITA_000057905,MA_10433031g0010,,,,,SHADE>SUN,141.7992163,1,,,,
Scots pine,PITA_000053531,MA_10433063g0010,GO:0005886,AT2G39890.2,ATPROT1,,,,,,,,
Norway spruce,,MA_10433063g0010,,,,,SHADE>SUN,404.0290649,-0.691901576,0.556954257,-1.242295157,0.214127682,0.663097321
Scots pine,PITA_000033675,MA_10433067g0010,GO:0006486,AT1G53280.1,,Class I glutamine amidotransferase-like superfamily protein,SHADE<SUN,360.1677668,0.879615526,0.163295099,5.386662136,7.18E-08,2.45E-06
Norway spruce,,MA_10433067g0010,,,,,SHADE>SUN,87.33979535,-0.359738296,0.234157093,-1.536311765,0.124461935,0.509555373
Scots pine,PITA_000053404,MA_10433115g0020,,AT1G27170.1,,transmembrane receptors;ATP binding,SHADE>SUN,1,,,,,
Norway spruce,,MA_10433115g0020,,,,,SHADE<SUN,53.10084729,0.013238814,0.569121864,0.023261827,0.981441421,0.997070557
Norway spruce,,MA_10433117g0010,,,,,SHADE<SUN,20.80811699,0.105116205,0.424830127,0.247431145,0.804574573,0.968195555
Scots pine,PITA_000067200,MA_10433117g0010,,,,,SHADE>SUN,52.16235636,-6,,,,
Scots pine,PITA_000053586,MA_10433138g0010,GO:0006007,AT4G38250.1,,,SHADE>SUN,14.5851754,-4.870591221,0.734193654,-6.633932609,3.27E-11,1.86E-09
Norway spruce,,MA_10433138g0010,,,,,SHADE<SUN,45.10918064,0.222537886,0.400684207,0.555394703,0.578624715,0.908077326
Norway spruce,,MA_10433206g0010,,,,,SHADE<SUN,545.8938592,0.25468727,0.187794038,1.3562053,0.175033856,0.60340399
Scots pine,PITA_000045013,MA_10433206g0010,,,,,SHADE<SUN,176.1333355,0.90812502,0.190013163,4.779274272,1.76E-06,4.68E-05
Scots pine,PITA_000080536,MA_10433286g0010,GO:0009507,AT3G10420.2,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE<SUN,332.7849255,0.965414842,0.265331938,3.638517278,2,
Norway spruce,,MA_10433286g0010,,,,,SHADE>SUN,191.2016349,-0.114868059,0.169327114,-0.678379596,0.497531042,0.876916582
Scots pine,PITA_000018796,MA_10433305g0010,GO:0016020,AT4G26180.1,,Mitochondrial substrate carrier family protein,SHADE<SUN,543.6894801,1.322968866,0.213781334,6.188420867,6,
Norway spruce,,MA_10433305g0010,,,,,SHADE<SUN,97.41423323,0.379392952,0.259527822,1.461858499,0.14377999,0.547797529
Scots pine,PITA_000064414,MA_10433314g0010,GO:0006662,AT1G50320.1,ATHX,,,,,,,,
Norway spruce,,MA_10433314g0010,,,,,SHADE<SUN,361.150952,0.414274951,0.129899272,3.189201478,0.001426664,0.025505083
Scots pine,PITA_000049978,MA_10433328g0010,GO:0006098,AT5G23120.1,HCF136,photosystem II stability/assembly factor,,,,,,,
Norway spruce,,MA_10433328g0010,,,,,SHADE>SUN,431.3509951,-0.262250973,0.203254943,-1.290256309,0.196961681,0.637585711
Scots pine,PITA_000019022,MA_10433329g0010,,AT5G44000.1,,Glutathione S-transferase family protein,SHADE<SUN,121.5602378,0.844984953,0.224319601,3.766879708,1,
Norway spruce,,MA_10433329g0010,,,,,SHADE<SUN,262.0702965,0.166456542,0.164007631,1.014931691,0.31013839,0.749507142
Scots pine,PITA_000009464,MA_10433349g0010,GO:0004197,AT1G79320.1,AtMC6,,,,,,,,
Norway spruce,,MA_10433349g0010,,,,,SHADE>SUN,101.0814493,-0.252767793,0.51415756,-0.491615437,0.622991229,0.923929675
Scots pine,PITA_000088179,MA_10433477g0020,GO:0016758,AT1G05675.1,,UDP-Glycosyltransferase superfamily protein,SHADE>SUN,43.31981619,-1,,,,
Norway spruce,,MA_10433477g0020,,,,,SHADE<SUN,182.0052929,0.941638008,0.330406991,2.849933669,0.004372835,0.058523929
Scots pine,PITA_000019159,MA_10433485g0010,GO:0008152,AT1G75450.1,ATCKX5,,,,,,,,
Norway spruce,,MA_10433485g0010,,,,,SHADE<SUN,721.3494558,0.801893245,0.549948952,1.458123054,0.144806628,0.549956578
Scots pine,PITA_000002158,MA_10433512g0010,GO:0005829,AT1G80410.1,EMB2753,tetratricopeptide repeat (TPR)-containing protein,SHADE>SUN,38.44462589,-4.416309175,0.817529063,-5.402021013,6.59E-08,2.27E-06
Norway spruce,,MA_10433512g0010,,,,,SHADE>SUN,53.57774024,-0.134106022,0.25824864,-0.519290332,0.603558294,0.916249152
Scots pine,PITA_000048414,MA_10433549g0010,,AT4G13650.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,188.984781,1.273818932,0.28796467,4.423525057,9.71E-06,2
Norway spruce,,MA_10433549g0010,,,,,SHADE<SUN,234.8533845,0.328468722,0.558312229,0.588324426,0.556314553,0.90151254
Norway spruce,,MA_10433576g0020,,,,,SHADE<SUN,147.612626,0.233795221,0.546424701,0.427863567,0.668750454,0.937129015
Scots pine,PITA_000033164,MA_10433576g0020,GO:0005488,,,,SHADE<SUN,232.6521024,0.545327655,0.15110483,3.608935954,3,
Scots pine,PITA_000028190,MA_10433593g0010,,AT5G05590.2,PAI2,phosphoribosylanthranilate isomerase 2,SHADE<SUN,187.4679701,0.81604663,0.203510597,4,,
Norway spruce,,MA_10433593g0010,,,,,SHADE>SUN,125.9419051,-0.041290545,0.392846688,-0.105106001,0.916291697,0.989415512
Scots pine,PITA_000008068,MA_10433694g0010,GO:0000096,AT1G23740.1,,Oxidoreductase,,,,,,,
Norway spruce,,MA_10433694g0010,,,,,SHADE<SUN,399.9103056,0.262968315,0.213799237,1.229977798,0.218705419,0.668963871
Scots pine,PITA_000026058,MA_10433724g0010,,AT4G33590.1,,unknown,SHADE<SUN,5,,,,,
Norway spruce,,MA_10433724g0010,,,,,SHADE>SUN,209.4950028,-0.805439859,0.391789936,-2.055795173,0.039802263,0.263685698
Scots pine,PITA_000000345,MA_10433727g0010,GO:0005509,AT5G51050.1,,Mitochondrial substrate carrier family protein,SHADE<SUN,137.9761712,0.860822196,0.234326376,3.673603501,2,
Norway spruce,,MA_10433727g0010,,,,,SHADE<SUN,127.847617,0.086486099,0.202649243,0.42677731,0.669541535,0.937410597
Scots pine,PITA_000028414,MA_10433789g0010,GO:0004820,AT1G29880.1,,glycyl-tRNA synthetase / glycine--tRNA ligase,SHADE<SUN,126.7944596,0.611337768,0.149935078,4,,
Norway spruce,,MA_10433789g0010,,,,,SHADE<SUN,116.1189133,0.348136224,0.643030182,0.541399507,0.588232247,0.911800524
Scots pine,PITA_000091629,MA_10433830g0010,,AT5G48220.1,,Aldolase-type TIM barrel family protein,SHADE<SUN,377.9230899,1.663532067,0.468858345,3.548048329,3,
Norway spruce,,MA_10433830g0010,,,,,SHADE<SUN,374.4197033,0.435640096,0.205252057,2.122463974,0.033798795,0.238097565
Scots pine,PITA_000035829,MA_10433830g0010,,,,,SHADE<SUN,689.8783603,0.967483149,0.279730291,3.45862847,5,
Scots pine,PITA_000003862,MA_10433855g0010,GO:0005524,AT2G39730.1,RCA,rubisco activase,SHADE<SUN,553.3580776,1.125014385,0.130755971,8.603923626,7.70E-18,1.15E-15
Norway spruce,,MA_10433855g0010,,,,,SHADE<SUN,1022.035266,0.414872454,0.193980117,2.138737001,0.032456974,0.231639005
Scots pine,PITA_000040888,MA_10433869g0010,GO:0016757,AT2G15490.1,UGT73B4,UDP-glycosyltransferase 73B4,SHADE<SUN,6,,,,,
Norway spruce,,MA_10433869g0010,,,,,SHADE>SUN,94.84527834,-0.365262923,0.343472408,-1.06344182,0.287581636,0.736472865
Scots pine,PITA_000019626,MA_10433870g0010,,AT4G11910.1,,unknown,SHADE<SUN,2,,,,,
Norway spruce,,MA_10433870g0010,,,,,SHADE>SUN,466.9093742,-0.078894103,0.220046024,-0.358534555,0.719943313,0.948980073
Scots pine,PITA_000008184,MA_10433905g0010,GO:0004441,AT5G54390.1,AHL,,,,,,,,
Norway spruce,,MA_10433905g0010,,,,,SHADE<SUN,81.78626956,0.227000093,0.264550123,0.85806081,0.390858886,0.813954244
Scots pine,PITA_000040017,MA_10433953g0010,,AT5G24650.1,,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein,SHADE<SUN,123.980234,0.650930185,0.147856729,4.402438703,1,
Norway spruce,,MA_10433953g0010,,,,,SHADE<SUN,137.7749609,0.298645932,0.235804383,1.266498648,0.205334613,0.650405467
Scots pine,PITA_000002793,MA_10433963g0010,GO:0006633,AT2G43710.1,FAB2,,,,,,,,
Norway spruce,,MA_10433963g0010,,,,,SHADE<SUN,577.9213077,1.10097738,0.542093554,2.030973015,0.042257732,0.273585461
Scots pine,PITA_000048002,MA_10434011g0010,GO:0005773,AT3G07470.1,,Protein of unknown function,,,,,,,
Norway spruce,,MA_10434011g0010,,,,,SHADE>SUN,28.59517951,-0.278899229,0.333279926,-0.836831768,0.402687138,0.823456604
Scots pine,PITA_000020535,MA_10434063g0010,GO:0005319,AT3G20320.1,TGD2,trigalactosyldiacylglycerol2,SHADE<SUN,124.1834554,0.597872784,0.176336975,3.390512865,6,
Norway spruce,,MA_10434063g0010,,,,,SHADE<SUN,229.0625545,0.246203526,0.216996981,1.134594244,0.256545366,0.714683041
Scots pine,PITA_000005132,MA_10434075g0010,GO:0009536,AT5G50250.1,CP31B,chloroplast RNA-binding protein 31B,SHADE>SUN,563.4183021,1,,,,
Norway spruce,,MA_10434075g0010,,,,,SHADE<SUN,757.2737077,0.446234083,0.145073852,3.0759098,0.002098613,0.034062992
Scots pine,PITA_000079076,MA_10434082g0010,,AT1G69550.1,,disease resistance protein (TIR-NBS-LRR class),SHADE>SUN,55.88898081,-5.689178351,0.749002635,-7.595672008,3,
Norway spruce,,MA_10434082g0010,,,,,SHADE<SUN,103.2810444,0.012858848,0.334861716,0.038400473,0.969368384,0.995219072
Scots pine,PITA_000047812,MA_10434103g0020,,AT5G16150.3,GLT1,,,,,,,,
Norway spruce,,MA_10434103g0020,,,,,SHADE>SUN,105.2549661,-0.208619082,0.35756432,-0.583444909,0.559593833,0.902763757
Scots pine,PITA_000026589,MA_10434208g0010,GO:0005730,AT1G72320.1,APUM23,,,,,,,,
Norway spruce,,MA_10434208g0010,,,,,SHADE>SUN,100.8733016,-0.181083786,0.277331328,-0.652951067,0.513787825,0.8844796
Norway spruce,,MA_10434249g0010,,,,,SHADE<SUN,77.10137964,0.268982718,0.461119955,0.583324827,0.559674652,0.902763757
Scots pine,PITA_000062404,MA_10434249g0010,,,,,SHADE<SUN,433.5494927,0.51463531,9,,,
Scots pine,PITA_000005436,MA_10434267g0010,,AT5G65620.1,,Zincin-like metalloproteases family protein,SHADE<SUN,171.3548311,0.879778019,0.130925618,6.719678194,1.82E-11,1.10E-09
Norway spruce,,MA_10434267g0010,,,,,SHADE<SUN,167.6660392,0.178938533,0.198053113,0.903487606,0.366267163,0.796029453
Scots pine,PITA_000018663,MA_10434428g0010,GO:0005488,AT4G30110.1,ATHMA2,,,,,,,,
Norway spruce,,MA_10434428g0010,,,,,SHADE<SUN,245.3344229,0.686565094,0.27888559,2.461816313,0.013823544,0.130419183
Scots pine,PITA_000000051,MA_10434460g0020,,AT2G44500.1,,O-fucosyltransferase family protein,SHADE>SUN,33.14407479,-2.462410734,0.445456229,-5.527839945,3.24E-08,1.17E-06
Norway spruce,,MA_10434460g0020,,,,,SHADE<SUN,620.1615297,0.992170317,0.629824255,1.575312967,0.115184222,0.488214533
Scots pine,PITA_000027981,MA_10434513g0010,GO:0004557,AT3G26380.1,,Melibiase family protein,SHADE<SUN,2956.472135,1.843355662,8,,,
Norway spruce,,MA_10434513g0010,,,,,SHADE>SUN,819.4289167,-0.017105202,0.397614866,-0.043019523,0.965685971,0.994990583
Scots pine,PITA_000049074,MA_10434550g0010,,AT5G14660.2,ATDEF2,,,,,,,,
Norway spruce,,MA_10434550g0010,,,,,SHADE<SUN,183.2645194,0.32340271,0.193087725,1.674900413,0.093953773,0.436745751
Scots pine,PITA_000039442,MA_10434559g0010,,AT4G17910.1,,transferases,,,,,,,
Norway spruce,,MA_10434559g0010,,,,,SHADE>SUN,72.7908571,-0.167819948,0.415188253,-0.404202063,0.686064137,0.941161206
Scots pine,PITA_000084437,MA_10434576g0010,,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,453.5413963,6.835837617,0.763789474,8.949897648,3.56E-19,6
Norway spruce,,MA_10434576g0010,,,,,SHADE>SUN,66.29196809,-0.210110899,0.441864145,-0.47551018,0.634423379,0.927377112
Scots pine,PITA_000080632,MA_10434622g0020,GO:0004091,AT2G23540.1,,GDSL-like Lipase/Acylhydrolase superfamily protein,SHADE>SUN,81.58290196,-1.171000611,0.206417363,-5.672975357,1.40E-08,5.37E-07
Norway spruce,,MA_10434622g0020,,,,,SHADE<SUN,211.4572684,0.114328517,0.194455198,0.587942717,0.556570743,0.901684657
Norway spruce,,MA_10434630g0010,,,,,SHADE<SUN,276.5585081,0.475533323,0.242302922,1.962557109,0.049697659,0.300127776
Scots pine,PITA_000018137,MA_10434630g0010,,,,,SHADE<SUN,258.7225601,0.957111996,0.148788068,6.432720111,1.25E-10,6.53E-09
Scots pine,PITA_000033273,MA_10434642g0010,GO:0006855,AT5G52450.1,,MATE efflux family protein,SHADE>SUN,1,,,,,
Norway spruce,,MA_10434642g0010,,,,,SHADE<SUN,187.3776677,0.094796644,0.300723436,0.315228653,0.752588052,0.957036608
Scots pine,PITA_000019619,MA_10434819g0010,,AT5G13930.1,ATCHS,,,,,,,,
Norway spruce,,MA_10434819g0010,,,,,SHADE<SUN,200.5900081,0.109780813,0.345970842,0.317312328,0.751006624,0.95682602
Scots pine,PITA_000018218,MA_10434819g0010,,,,,SHADE<SUN,123.6885975,1.315763338,0.196087441,6.710084693,1.95E-11,1.17E-09
Scots pine,PITA_000064642,MA_10434855g0010,GO:0002238,AT3G03270.2,,Adenine nucleotide alpha hydrolases-like superfamily protein,SHADE>SUN,46.52640008,-0.859921449,0.226263543,-3.8005303,1,
Norway spruce,,MA_10434855g0010,,,,,SHADE>SUN,23.31023377,-0.807616043,0.357180807,-2.261084659,0.023754015,0.188944037
Scots pine,PITA_000058627,MA_10434888g0020,,AT3G06210.1,,ARM repeat superfamily protein,SHADE<SUN,61.3906095,1.963648619,0.49498184,3.967112446,7.27E-05,1
Norway spruce,,MA_10434888g0020,,,,,SHADE>SUN,79.1479052,-0.759578934,0.62850865,-1.208541734,0.226838953,0.680582581
Norway spruce,,MA_10434980g0010,,,,,SHADE>SUN,20.6160928,-0.298333608,0.522813828,-0.570630675,0.568250021,0.90518846
Scots pine,PITA_000013475,MA_10434980g0010,,,,,SHADE>SUN,47.15223817,-1.486901054,0.342997264,-4.335023077,1.46E-05,3
Norway spruce,,MA_10435012g0010,,,,,SHADE<SUN,139.5768513,0.36994497,0.222404677,1.663386649,0.096235064,0.44265284
